username,datetime,tweet_text,replies,retweets,likes
ADAM@AdameMedia·40m,2024-01-17T10:33:47.000Z,"Palestine was a prosperous and peaceful nation before the Europeans showed up. 

A theif is never an owner.",14,120,193
Mini Nair@minicnair·2h,2024-01-17T08:42:34.000Z,"TOI deleted this tweet bcse the image was from Palestine!!!
#l
The times of India!!!!",10,24,80
Mutah Beale مطاع بيل@MutahNapoleon·18m,2024-01-17T10:55:32.000Z,History of nazism against the #Semitic #Palestinian people. May Allah help the people of #palestine and fight those who are fighting them ,,8,27
Muhammad Rafay@rafayjalil·22m,2024-01-17T10:51:29.000Z,"This precious soul is expressing resistance against Israeli actions and standing in solidarity with #Palestine. 

May they grow up to witness a liberated Palestine. #FreePalestine ",1,3,12
Nadira Ali@Nadira_ali12·5h,2024-01-17T05:16:35.000Z,"Iran is under sanctions only because it has not bowed down to Western powers like other Muslim countries.
Helping Palestine despite threats.
Iran is our true friend",56,178,645
,,,,,
Mini Nair@minicnair·2h,2024-01-17T08:42:34.000Z,"TOI deleted this tweet bcse the image was from Palestine!!!
#l
The times of India!!!!",10,24,80
Mutah Beale مطاع بيل@MutahNapoleon·18m,2024-01-17T10:55:32.000Z,History of nazism against the #Semitic #Palestinian people. May Allah help the people of #palestine and fight those who are fighting them ,,8,27
Muhammad Rafay@rafayjalil·22m,2024-01-17T10:51:29.000Z,"This precious soul is expressing resistance against Israeli actions and standing in solidarity with #Palestine. 

May they grow up to witness a liberated Palestine. #FreePalestine ",1,3,12
Nadira Ali@Nadira_ali12·5h,2024-01-17T05:16:35.000Z,"Iran is under sanctions only because it has not bowed down to Western powers like other Muslim countries.
Helping Palestine despite threats.
Iran is our true friend",56,178,645
,,,,,
Mini Nair@minicnair·2h,2024-01-17T08:42:34.000Z,"TOI deleted this tweet bcse the image was from Palestine!!!
#l
The times of India!!!!",10,24,80
Mutah Beale مطاع بيل@MutahNapoleon·18m,2024-01-17T10:55:32.000Z,History of nazism against the #Semitic #Palestinian people. May Allah help the people of #palestine and fight those who are fighting them ,,8,27
Muhammad Rafay@rafayjalil·22m,2024-01-17T10:51:29.000Z,"This precious soul is expressing resistance against Israeli actions and standing in solidarity with #Palestine. 

May they grow up to witness a liberated Palestine. #FreePalestine ",1,3,12
Nadira Ali@Nadira_ali12·5h,2024-01-17T05:16:35.000Z,"Iran is under sanctions only because it has not bowed down to Western powers like other Muslim countries.
Helping Palestine despite threats.
Iran is our true friend",56,178,645
keivan@kkeishayghan·6h,2024-01-17T05:08:49.000Z,"Who or what is USA ?

Don't belive just watch ...

#Iraq #Trump #Palestine_Genocide #Islamophobia #Yemen #YemenUnderAttack #Syria #Afghanistan #IsraeliNewNazism",30,237,328
Zynab @ZynabAlAziz·43m,2024-01-17T10:30:13.000Z,IRAN has done more for Palestine than any other nation in the 21st century.,6,11,46
ace princess @acecrisis·6h,2024-01-17T05:02:08.000Z,"please please put your eyes on Palestine, speak up, pray, manifest, do whatever you can",1,263,388
Younis Tirawi | يونس@ytirawi·1h,2024-01-17T10:10:21.000Z,"Maarjat, Jericho | Depraved

Israeli settlers from Mehovot Yeriho accompanied by Israeli militias stormed Bado Kaabna elementary school, interrogated teachers & recorded license plate numbers.

Reason: Israeli settlers told IOF that the flag of Palestine was painted at a door!",3,184,172
Javeria Sultan@javeria_sultan1·1h,2024-01-17T09:38:45.000Z,A Palestinian is giving water to a helpless cat. I salute this humanity and this attitude..#Palestine #ICJ #israel #ابو_عبيدة,5,64,95
LisaMarie@RedactedRosalia·7h,2024-01-17T04:06:34.000Z,You don’t have to be a Muslim to pray for the people of Palestine ,9,45,75
News 24×7@News2406·3m,2024-01-17T11:10:39.000Z,"BREAKING: IRANIAN DRONES ON PAKISTAN BORDER

A significant presence of drones was reported above Saravan, Bempesht, and Mehrestan.

#PAKvsNZ #Pakistan #Iran #Iraq #Syria #Israel #Gaza #Palestine @theAshMolly @DhruvHunYaar",,2,4
Nour Zeidan@nour_zeidan·8h·,2024-01-17T03:11:10.000Z,"Keep Praying. 

Keep Posting. 

Keep Sharing. 

Keep Donating. 

Keep Protesting. 

Keep Boycotting. 

FREE PALESTINE.",21,260,348
Nakba@VictorNakba·16m,2024-01-17T10:57:53.000Z,Everything about Palestine is a lie. #GazaGeniocide Al-Aqsa flood.,,2,4
Sara Rey@SaraReyi·4h,2024-01-17T07:03:00.000Z,CHILDHOOD IN PALESTINE,6,115,162
,,,,,
