username,datetime,tweet_text,replies,retweets,likes
Muhammad Rafay@rafayjalil·16m,2024-01-17T10:51:29.000Z,"This precious soul is expressing resistance against Israeli actions and standing in solidarity with #Palestine. 

May they grow up to witness a liberated Palestine. #FreePalestine ",1,3,10
@zei_squirrel·1h,2024-01-17T09:43:06.000Z,"what happened to the obsession of the media class with ""cancel culture""? Tens of thousands have been actually ""cancelled"" over the past 100 days across the West for daring to support Palestine, and all our brave ""free speech absolutists"" have vanished into thin air",15,166,540
Zynab @ZynabAlAziz·37m,2024-01-17T10:30:13.000Z,IRAN has done more for Palestine than any other nation in the 21st century.,6,9,43
Nadira Ali@Nadira_ali12·5h,2024-01-17T05:16:35.000Z,"Iran is under sanctions only because it has not bowed down to Western powers like other Muslim countries.
Helping Palestine despite threats.
Iran is our true friend",56,177,638
Sam Parker @SamParkerSenate·57m,2024-01-17T10:10:07.000Z,"ISRAELI SOLDIERS OCCUPY GAZA HOUSE & PERFORM TALMUDIC RITUALS

On the small scale, zíonism occupies, steals & destroys houses in Palestine.

On the large scale, it occupies the US House of Representatives & White House, and steals American sovereignty.",39,102,207
Palestine Culture@PalestineCultu1·7h,2024-01-17T04:01:00.000Z,Beautiful faces from the refugee camp in Gaza,14,275,680
,,,,,
Zynab @ZynabAlAziz·37m,2024-01-17T10:30:13.000Z,IRAN has done more for Palestine than any other nation in the 21st century.,6,9,43
Nadira Ali@Nadira_ali12·5h,2024-01-17T05:16:35.000Z,"Iran is under sanctions only because it has not bowed down to Western powers like other Muslim countries.
Helping Palestine despite threats.
Iran is our true friend",56,177,638
Sam Parker @SamParkerSenate·57m,2024-01-17T10:10:07.000Z,"ISRAELI SOLDIERS OCCUPY GAZA HOUSE & PERFORM TALMUDIC RITUALS

On the small scale, zíonism occupies, steals & destroys houses in Palestine.

On the large scale, it occupies the US House of Representatives & White House, and steals American sovereignty.",39,102,207
Palestine Culture@PalestineCultu1·7h,2024-01-17T04:01:00.000Z,Beautiful faces from the refugee camp in Gaza,14,275,680
Palestine Culture@PalestineCultu1·15m,2024-01-17T10:52:28.000Z,Cowards are made in isr@el and courage is made in Palestine.,2,27,42
Haz Al-Din @InfraHaz·7h,2024-01-17T03:45:31.000Z," IRAN has done more for Palestine than any other nation in the 21st century.

You may criticize Iran all you like, but just know that the ONLY reason they are under siege is because unlike other governments in the region, they never betrayed the Palestinian people.",192,615,2.4K
Globe Eye News@GlobeEyeNews·3h,2024-01-17T07:30:03.000Z,"Malaysian PM Anwar Ibrahim: 

In Solidarity with Palestine, Malaysia fully supports South Africa's action in the International Court of Justice to oppose tyranny and uphold justice.",7,149,765
War Reports@cheguwera·5m,2024-01-17T11:02:54.000Z," Statement by the spokesman of the Yemeni Armed Forces :

The naval forces of the #Yemen Armed Forces carried out a targeting operation against the ship “Zogravia”, which was heading to the ports of occupied #Palestine, with a number of suitable naval missiles, and the…",,3,5
Palestine Culture@PalestineCultu1·3h,2024-01-17T07:46:00.000Z,Never tire of calling for a ceasefire,11,113,185
Free Palestine @imannoo_·6h,2024-01-17T04:36:52.000Z,"I just have to laugh. They’re truly scrambling. 

Anyway, don’t fall for this!! We’re still boycotting!! Free Palestine ",30,657,1.2K
Palestine Culture@PalestineCultu1·5h,2024-01-17T05:34:00.000Z,Simple wishes from a little child from Gaza.,3,242,323
Jesvin George@Jesvinquotes·1h,2024-01-17T10:01:15.000Z,"Mia Khalifa stands with Palestine...
#Israel #Palestine #Iran #AirStrike",7,8,31
Middle East Observer@ME_Observer_·1h,2024-01-17T09:49:19.000Z,"Occupied Palestine: Islamic Jihad Movement: 

During the past hours, the enemy has deliberately used drones at least twice to carry out assassination operations in the West Bank.

 The enemy’s resort to this type of assassination proves its inability to confront the resistance…",3,34,87
elodie / elliot !@elodieisboredd·3h,2024-01-17T07:17:29.000Z,"Bisan is still alive, please pray for her and all of Palestine.",,119,254
,,,,,
Free Palestine @imannoo_·6h,2024-01-17T04:36:52.000Z,"I just have to laugh. They’re truly scrambling. 

Anyway, don’t fall for this!! We’re still boycotting!! Free Palestine ",30,657,1.2K
Palestine Culture@PalestineCultu1·5h,2024-01-17T05:34:00.000Z,Simple wishes from a little child from Gaza.,3,242,323
Jesvin George@Jesvinquotes·1h,2024-01-17T10:01:15.000Z,"Mia Khalifa stands with Palestine...
#Israel #Palestine #Iran #AirStrike",7,8,31
Middle East Observer@ME_Observer_·1h,2024-01-17T09:49:19.000Z,"Occupied Palestine: Islamic Jihad Movement: 

During the past hours, the enemy has deliberately used drones at least twice to carry out assassination operations in the West Bank.

 The enemy’s resort to this type of assassination proves its inability to confront the resistance…",3,34,87
elodie / elliot !@elodieisboredd·3h,2024-01-17T07:17:29.000Z,"Bisan is still alive, please pray for her and all of Palestine.",,119,254
Sade@atlajala·2h,2024-01-17T08:12:18.000Z,"tonight's viewing, recently added to the Palestine Film Index by a comrade; Untold Revolution: Food Sovereignty in Palestine (Ameen Nayfeh, 2021)
https://youtu.be/11ldhzAGfQI?feature=shared…",2,75,238
Mohammed Zubair@zoo_bear·2h,2024-01-17T08:41:04.000Z,The tweet below was deleted because TOI mistakenly used a pic from Palestine instead of Israel. They reshared the article with a different pic now.,39,204,636
Lord Bebo@MyLordBebo·11h,2024-01-16T23:48:02.000Z,Mandela’s grandson shows solidarity with Palestine!,19,278,980
Eye on Palestine@EyeonPalestine·2h,2024-01-17T08:24:37.000Z,Palestinians transport the bodies of residents after the withdrawal of occupation forces from the Austrian neighborhood in Khan Younis.,3,252,255
