username,datetime,tweet_text,replies,retweets,likes
Treeni@_treeni·6h,2023-11-29T04:27:04.000Z,"The video that the student posted has been viral since the Israel-Palestine conflict began, and almost everyone seems to have seen it.

Some also claim that the main reason for this outrage was his relationship with a Kashmiri girl, which triggered the Islamists.",20,350,503
FREE PALESTINE@missfalsteenia·4h,2023-11-29T06:33:41.000Z,This is no condition anyone should have to live in.,,2.2K,3.4K
Karim Wafa Al-Hussaini@DrKarimWafa·3h,2023-11-29T07:37:09.000Z,"In 50 days, Israel has killed 70 journalists in Palestine and Lebanon.

In all the six years of World War ll, 69 journalists were killed.

Let that sink in.",7,134,226
Dr. Anastasia Maria Loupis@DrLoupis·5h,2023-11-29T05:28:22.000Z,"A Delegation of Anti Zionist Religious Jews Visited the Jenin Refugee camp in Palestine, they were subsequently arrested by Israeli Authorities.

True Nazi style
@JewsAgainstIsrl",223,884,1.8K
Laibah Firdaus. لائبہ فردوس@FirdausLaibah·2h,2023-11-29T08:24:41.000Z,"International day of Solidarity with the Palestinians People.
29 November 
फिलस्तीनी जनता के साथ एकता।
Solidarity with the Palestinians People.
#Palestine",3,10,25
Palestine Now.@PalestineNW·4h,2023-11-29T06:10:06.000Z,The occupation forces continue to prevent medical staff at Jenin Hospital from going out to treat the injured.,3,119,104
,,,,,
FREE PALESTINE@missfalsteenia·4h,2023-11-29T06:33:41.000Z,This is no condition anyone should have to live in.,,2.2K,3.4K
Karim Wafa Al-Hussaini@DrKarimWafa·3h,2023-11-29T07:37:09.000Z,"In 50 days, Israel has killed 70 journalists in Palestine and Lebanon.

In all the six years of World War ll, 69 journalists were killed.

Let that sink in.",7,134,226
Dr. Anastasia Maria Loupis@DrLoupis·5h,2023-11-29T05:28:22.000Z,"A Delegation of Anti Zionist Religious Jews Visited the Jenin Refugee camp in Palestine, they were subsequently arrested by Israeli Authorities.

True Nazi style
@JewsAgainstIsrl",223,884,1.8K
Laibah Firdaus. لائبہ فردوس@FirdausLaibah·2h,2023-11-29T08:24:41.000Z,"International day of Solidarity with the Palestinians People.
29 November 
फिलस्तीनी जनता के साथ एकता।
Solidarity with the Palestinians People.
#Palestine",3,10,25
Palestine Now.@PalestineNW·4h,2023-11-29T06:10:06.000Z,The occupation forces continue to prevent medical staff at Jenin Hospital from going out to treat the injured.,3,119,104
The Londoner@LondonBlogs_·2h,2023-11-29T07:58:44.000Z,"You don’t need to be religious to stand with #Palestine, you just need to be human. The world stands with Palestine, do you?",5,17,66
FREE PALESTINE@missfalsteenia·2h·,2023-11-29T08:39:56.000Z,I wish nothing but peace and happiness for this man. I pray one day he reunites with the soul of his soul ,,279,898
Palestine Culture@PalestineCultu1·4h,2023-11-29T06:43:32.000Z,"Good morning my friends, Free Palestine ",22,154,392
Adam Albilya - אדם אלביליה@AdamAlbilya·6h,2023-11-29T04:37:21.000Z,"POV: When 'pro-Palestine' Nazis Spot Jews Standing Outside Jewish Fraternity 

Now imagine how these already Nazi-like ""(((Free))) Palestine"" marches would look like if there wasn't for those paid, heavily involved, yellow-coated outlookers — to keep reminding the participants…",14,82,120
ثنا ابراهیمی | Sana Ebrahimi@__Injaneb96·5h,2023-11-29T05:18:09.000Z,"If you come across a “Free Palestine” activist who calls #Hamas, Palestinian freedom fighters, or one of the Neo-Liberals who think they are fighting “Colonialism” and “Imperialism”, show them this video and see what they have to say. 
@elicalebon",40,425,939
FREE PALESTINE@missfalsteenia·9h,2023-11-29T01:41:54.000Z,This nightmare needs to end for the sake of these innocent souls ,,881,1.6K
Save Palestine@helpPalestine__·23m,2023-11-29T10:24:54.000Z,"Israeli jéwish schoolchildren are indoctrinated to blow up the Al Aqsa mosque to build their temple and to kill & enslave Arabs in a war someday.

Christian zíonists support this.

What could go wrong?",,,2
mystical0404@mystical04044·3m,2023-11-29T10:45:32.000Z,Janine Palestine is being bombed this is unacceptable!,,1,
Gaza Under Attack_@Palestine001_·4h,2023-11-29T06:23:32.000Z,"Hello world:
It is a #Palestinian Child",3,10,15
,,,,,
FREE PALESTINE@missfalsteenia·9h,2023-11-29T01:41:54.000Z,This nightmare needs to end for the sake of these innocent souls ,,881,1.6K
Save Palestine@helpPalestine__·23m,2023-11-29T10:24:54.000Z,"Israeli jéwish schoolchildren are indoctrinated to blow up the Al Aqsa mosque to build their temple and to kill & enslave Arabs in a war someday.

Christian zíonists support this.

What could go wrong?",,,2
mystical0404@mystical04044·3m,2023-11-29T10:45:32.000Z,Janine Palestine is being bombed this is unacceptable!,,1,
Gaza Under Attack_@Palestine001_·4h,2023-11-29T06:23:32.000Z,"Hello world:
It is a #Palestinian Child",3,10,15
,,,,,
