username,datetime,tweet_text,replies,retweets,likes
Karim Wafa Al-Hussaini@DrKarimWafa·4h,2023-12-05T06:04:32.000Z,Palestine was not empty before 1948. It was a land with an ancient indigenous people. We’ve been on the land for thousands of years. Don’t let them erase us from history. We are still here. We exist.,7,149,266
Palestine Now.@PalestineNW·3h,2023-12-05T07:05:47.000Z,"Civil defense personnel in Gaza bid a final farewell to their colleague, Mohammad Salah Abdelhadi, who was killed in an Israeli bombardment last night while trying to save innocent lives.",11,79,101
Jackson Hinkle @jacksonhinklle·5h,2023-12-05T04:49:00.000Z," If you STAND WITH PALESTINE, keep #BanGTA6 TRENDING!",910,3.6K,9.8K
Palestine Now.@PalestineNW·1h,2023-12-05T09:25:58.000Z,"BREAKING.

Palestinian Prisoner Club: The occupation arrests 40 Palestinians from the West Bank, 

bringing the number of detainees to 3580 since 7th of October.",1,29,28
FREE PALESTINE@missfalsteenia·7h,2023-12-05T03:36:20.000Z,They’re bombing all of Gaza. They have no where to go. You call this genocide.,,10K,14K
Torah Judaism@TorahJudaism·3h,2023-12-05T06:58:08.000Z,"Palestine is still subjected to genocide and Israel continues the war.

They continue the war, do you continue the boycott?

There is innocent baby blood in the coffee you drink and the food you eat.

Anyone who provides money to these companies that support the genocide of the…",38,588,842
,,,,,
Palestine Now.@PalestineNW·3h,2023-12-05T07:05:47.000Z,"Civil defense personnel in Gaza bid a final farewell to their colleague, Mohammad Salah Abdelhadi, who was killed in an Israeli bombardment last night while trying to save innocent lives.",11,79,101
Jackson Hinkle @jacksonhinklle·5h,2023-12-05T04:49:00.000Z," If you STAND WITH PALESTINE, keep #BanGTA6 TRENDING!",910,3.6K,9.8K
Palestine Now.@PalestineNW·1h,2023-12-05T09:25:58.000Z,"BREAKING.

Palestinian Prisoner Club: The occupation arrests 40 Palestinians from the West Bank, 

bringing the number of detainees to 3580 since 7th of October.",1,29,28
FREE PALESTINE@missfalsteenia·7h,2023-12-05T03:36:20.000Z,They’re bombing all of Gaza. They have no where to go. You call this genocide.,,10K,14K
Torah Judaism@TorahJudaism·3h,2023-12-05T06:58:08.000Z,"Palestine is still subjected to genocide and Israel continues the war.

They continue the war, do you continue the boycott?

There is innocent baby blood in the coffee you drink and the food you eat.

Anyone who provides money to these companies that support the genocide of the…",38,588,842
Ryan Rozbiani@RyanRozbiani·9h,2023-12-05T01:43:31.000Z,The people of Palestine will be Free,40,220,442
Palestine Now.@PalestineNW·3h,2023-12-05T07:22:43.000Z,"BREAKING: FAKE CLAIMS BY ISRAEL. 

Veteran American Journalist Max Blumenthal: 

- ""The Israeli govt has published a new fake photo purporting to show a victim of rape by Hamas militants at the Nova music festival on October 7.""

- ""The image predates 10/7 and shows a female…",4,96,118
Rev Laskaris@REVMAXXING·8h,2023-12-05T02:02:34.000Z," Palestine is NOT your enemy.

 Israel IS your enemy.",193,1.2K,3.9K
FREE PALESTINE@missfalsteenia·6h,2023-12-05T03:54:50.000Z,my heart continues to shatter. over and over again.,,2.5K,3.3K
David Atherton@DaveAtherton20·1h,2023-12-05T09:26:20.000Z,"In Denmark Hill, South London pro-Hamas supporters chant the anti-Semitic ""from the river to the sea, Palestine will be free.""

According to the Campaign Against @antisemitism half of Jews are considering leaving Britain, mostly to Israel.

Any chance I can come too?",7,11,34
Supporting Humanity@SocialistAnyDay·1h,2023-12-05T09:00:17.000Z,"Anti-Zionist Jews marching in Brooklyn New York, to denounce the ongoing Israeli genocide, and to show their love and solidarity with the people of Gaza, Palestine ",5,28,51
Delhi Reads@delhi_reads·3h,2023-12-05T07:03:06.000Z,"delhi reads stands in solidarity with palestine  in our latest session, our community discussed resistance poetry and the work of palestine poets in advocating for a free palestine, and how art amplifies resistance and builds solidaities.",7,27,123
Palestine Now.@PalestineNW·3h,2023-12-05T06:55:46.000Z,"BREAKING: ISRAEL SPOKESMAN ADMITS OF INACCURATE CLAIMS. 

Israel's occupation army spokesperson confirms that prior claims suggesting Hamas fighters killed children and hanged them on ropes are inaccurate and vague.",5,129,165
Shining Star @ShineHamesha·2h,2023-12-05T07:55:13.000Z,"Senior Pakistani army officer talking about attacking India and imprisoning Modi. Liberating Palestine.

Viral video.

What jokers these people are!",42,66,102
Gul Sher Khan@Gulsher2000·6h,2023-12-05T04:28:13.000Z,"The sight of the boy sitting beside his mother's lifeless body by the roadside is truly heart-wrenching.

#Gaza_War #GazaGeniocide
#Palestine #Gaza #Hamas
#أبوعبيدة #غزة_تُباد #غزه_تقاوم #فلسطين",34,118,147
,,,,,
Supporting Humanity@SocialistAnyDay·1h,2023-12-05T09:00:17.000Z,"Anti-Zionist Jews marching in Brooklyn New York, to denounce the ongoing Israeli genocide, and to show their love and solidarity with the people of Gaza, Palestine ",5,28,51
Delhi Reads@delhi_reads·3h,2023-12-05T07:03:06.000Z,"delhi reads stands in solidarity with palestine  in our latest session, our community discussed resistance poetry and the work of palestine poets in advocating for a free palestine, and how art amplifies resistance and builds solidaities.",7,27,123
Palestine Now.@PalestineNW·3h,2023-12-05T06:55:46.000Z,"BREAKING: ISRAEL SPOKESMAN ADMITS OF INACCURATE CLAIMS. 

Israel's occupation army spokesperson confirms that prior claims suggesting Hamas fighters killed children and hanged them on ropes are inaccurate and vague.",5,129,165
Shining Star @ShineHamesha·2h,2023-12-05T07:55:13.000Z,"Senior Pakistani army officer talking about attacking India and imprisoning Modi. Liberating Palestine.

Viral video.

What jokers these people are!",42,66,102
Gul Sher Khan@Gulsher2000·6h,2023-12-05T04:28:13.000Z,"The sight of the boy sitting beside his mother's lifeless body by the roadside is truly heart-wrenching.

#Gaza_War #GazaGeniocide
#Palestine #Gaza #Hamas
#أبوعبيدة #غزة_تُباد #غزه_تقاوم #فلسطين",34,118,147
W.@Wajeehahaha_·3h,2023-12-05T07:01:03.000Z,Don't stop talking about PALESTINE ,17,99,357
Rachael Swindon@Rachael_Swindon·1h,2023-12-05T09:13:11.000Z,"Good morning America, 

Just a regular update on what your tax dollars are paying for in Palestine.",2,47,48
FREE PALESTINE@missfalsteenia·8h,2023-12-05T02:34:38.000Z,Gaza could be getting wiped out right now and we wouldn’t know it… ,,5.4K,7.4K
Bella Morne@BellaMorne·6h,2023-12-05T04:44:01.000Z,"Repost if you support ""Free Palestine """,40,306,506
